GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HotelReservationSystem,com.hotel.factory,InvoiceFactory,3,5,0,0,1,1,1,1,1,1
HotelReservationSystem,com.hotel,Main,7,0,0,0,3,0,2,0,2,0
HotelReservationSystem,com.hotel.service,BillingService,0,6,0,0,0,2,0,2,0,2
HotelReservationSystem,com.hotel.service,ReservationService,0,19,0,2,0,4,0,3,0,2
HotelReservationSystem,com.hotel.service,PricingService,0,11,0,0,0,4,0,2,0,2
HotelReservationSystem,com.hotel.strategy,StandardPricingStrategy,0,8,0,0,0,2,0,2,0,2
HotelReservationSystem,com.hotel.strategy,SeasonalPricingStrategy,0,8,0,0,0,2,0,2,0,2
HotelReservationSystem,com.hotel.model,Room,3,32,0,2,1,9,1,7,1,6
HotelReservationSystem,com.hotel.model,Invoice,0,17,0,2,0,5,0,3,0,2
HotelReservationSystem,com.hotel.model,Reservation,6,21,0,2,2,7,2,3,2,2
HotelReservationSystem,com.hotel.model,RoomStatus,0,27,0,0,0,2,0,1,0,1
HotelReservationSystem,com.hotel.model,Guest,0,18,1,3,0,5,1,3,0,2
